순,이름,연도,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR2,WPA
193,김건국,23K, -0.07 , 6 , 0 , 0 , 5 , 0 , 1 , 0 , 0 , 16.0 , 12 , 12 , 70 , 18 , 6 , 1 , 0 , 4 , 0 , 1 , 9 , 0 , 0 , 6.75 , 3.26 , 1.38 , 61.2 , 127.4 , -0.07 , -0.24 
194,김민수,23K, -0.07 , 14 , 0 , 0 , 0 , 0 , 1 , 0 , 3 , 13.0 , 10 , 10 , 58 , 17 , 5 , 2 , 1 , 5 , 0 , 0 , 4 , 0 , 0 , 6.92 , 4.98 , 1.69 , 61.0 , 83.3 , -0.07 , -0.23 
195,슐서,23K, -0.08 , 9 , 0 , 0 , 9 , 1 , 7 , 0 , 0 , 49.2 , 32 , 31 , 221 , 66 , 9 , 1 , 6 , 14 , 1 , 0 , 35 , 0 , 2 , 5.62 , 4.39 , 1.61 , 75.2 , 94.8 , -0.08 , -0.89 
196,장세진,23롯, -0.08 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.1 , 2 , 2 , 8 , 2 , 0 , 0 , 1 , 2 , 0 , 0 , 1 , 0 , 0 , 13.50 , 16.19 , 3.00 , 30.8 , 24.6 , -0.08 , -0.02 
197,최충연,23삼, -0.08 , 7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 9.1 , 8 , 5 , 47 , 10 , 1 , 0 , 3 , 7 , 0 , 3 , 8 , 1 , 0 , 4.82 , 9.12 , 1.82 , 87.8 , 46.4 , -0.08 , -0.03 
198,박진,23롯, -0.08 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5.0 , 5 , 5 , 29 , 7 , 2 , 0 , 1 , 7 , 0 , 0 , 2 , 1 , 1 , 9.00 , 9.44 , 2.80 , 46.2 , 43.2 , -0.08 , -0.07 
199,조성훈,23S, -0.09 , 2 , 0 , 0 , 2 , 0 , 1 , 0 , 0 , 7.0 , 5 , 5 , 34 , 10 , 1 , 0 , 0 , 4 , 0 , 2 , 4 , 0 , 0 , 6.43 , 4.87 , 2.00 , 65.1 , 85.7 , -0.09 , -0.10 
200,김태오,23K, -0.09 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 7.1 , 6 , 6 , 35 , 10 , 3 , 0 , 0 , 4 , 1 , 0 , 3 , 0 , 0 , 7.36 , 3.85 , 1.91 , 57.3 , 108.5 , -0.09 , 0.11 
201,박명근,23L, -0.09 , 57 , 0 , 0 , 1 , 4 , 3 , 5 , 9 , 51.1 , 31 , 29 , 236 , 49 , 9 , 1 , 4 , 28 , 2 , 6 , 40 , 0 , 1 , 5.08 , 4.77 , 1.50 , 80.3 , 85.6 , -0.09 , -0.58 
202,김정우,23두, -0.09 , 7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6.2 , 7 , 7 , 38 , 11 , 2 , 0 , 1 , 7 , 0 , 0 , 6 , 0 , 0 , 9.45 , 6.74 , 2.70 , 43.1 , 59.5 , -0.09 , -0.06 
203,김호준,23두, -0.09 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.0 , 4 , 4 , 16 , 3 , 0 , 0 , 1 , 4 , 0 , 0 , 2 , 0 , 1 , 12.00 , 10.44 , 2.33 , 33.9 , 37.8 , -0.09 , 0.00 
204,김서준,23삼, -0.09 , 8 , 0 , 0 , 1 , 0 , 1 , 0 , 1 , 7.2 , 6 , 6 , 39 , 9 , 2 , 0 , 0 , 6 , 0 , 2 , 2 , 0 , 3 , 7.04 , 6.05 , 1.96 , 60.1 , 68.2 , -0.09 , -0.41 
205,진승현,23롯, -0.09 , 24 , 0 , 0 , 0 , 2 , 2 , 0 , 1 , 27.2 , 20 , 18 , 129 , 34 , 3 , 0 , 2 , 16 , 3 , 0 , 25 , 0 , 1 , 5.86 , 3.98 , 1.81 , 71.1 , 102.4 , -0.09 , -0.14 
206,오상원,23키, -0.10 , 11 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 15.0 , 11 , 11 , 74 , 18 , 5 , 1 , 0 , 9 , 0 , 3 , 7 , 0 , 0 , 6.60 , 4.91 , 1.80 , 62.2 , 84.2 , -0.10 , -0.32 
207,윤산흠,23한, -0.10 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.0 , 2 , 2 , 18 , 3 , 1 , 0 , 0 , 6 , 0 , 0 , 3 , 0 , 0 , 6.00 , 7.44 , 3.00 , 69.2 , 55.8 , -0.10 , -0.46 
208,류희운,23한, -0.10 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4.0 , 5 , 5 , 20 , 6 , 1 , 0 , 1 , 2 , 0 , 0 , 4 , 0 , 0 , 11.25 , 6.19 , 2.00 , 36.9 , 67.1 , -0.10 , -0.01 
209,제환유,23두, -0.11 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.0 , 4 , 3 , 14 , 3 , 0 , 0 , 0 , 4 , 0 , 0 , 2 , 0 , 1 , 13.50 , 7.44 , 3.50 , 30.2 , 55.7 , -0.11 , -0.01 
210,와이드너,23N삼, -0.11 , 21 , 0 , 0 , 20 , 7 , 5 , 0 , 0 , 115.0 , 65 , 58 , 495 , 112 , 22 , 0 , 7 , 40 , 1 , 6 , 99 , 0 , 3 , 4.54 , 3.69 , 1.32 ,  ,  , -0.11 , -0.19 
