순,이름,연도,WAR,-,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,--
132,최태원,11쌍2B, 19.05 , 1284 , 4884 , 4231 , 565 , 1133 , 176 , 14 , 24 , 1409 , 344 , 130 , 72 , 398 , 86 , 2 , 468 , 51 , 132 , 29 , .268 , .341 , .333 , .674 , .309 , 85.9 , 19.05 ,
133,조성환,13롯2B, 19.02 , 1032 , 3482 , 3077 , 459 , 874 , 167 , 7 , 44 , 1187 , 329 , 116 , 33 , 259 , 51 , 6 , 492 , 51 , 66 , 29 , .284 , .347 , .386 , .732 , .334 , 94.2 , 19.02 ,
134,박동원,12+키C, 18.97 , 1156 , 3757 , 3285 , 442 , 837 , 157 , 6 , 134 , 1408 , 539 , 10 , 3 , 329 , 56 , 8 , 760 , 95 , 58 , 29 , .255 , .330 , .429 , .759 , .338 , 96.6 , 18.97 ,
135,김민재,19롯SS, 18.78 , 2111 , 6940 , 6088 , 696 , 1503 , 244 , 29 , 71 , 2018 , 607 , 174 , 90 , 473 , 97 , 8 , 739 , 145 , 229 , 53 , .247 , .309 , .331 , .640 , .289 , 71.6 , 18.78 ,
136,강백호,6+K1B, 18.72 , 659 , 2825 , 2455 , 407 , 765 , 159 , 6 , 95 , 1221 , 408 , 32 , 17 , 336 , 11 , 29 , 488 , 36 , 1 , 22 , .312 , .394 , .497 , .891 , .399 , 140.1 , 18.72 ,
137,홍세완,10KSS, 18.66 , 817 , 3247 , 2853 , 366 , 774 , 134 , 4 , 90 , 1186 , 431 , 41 , 32 , 288 , 37 , 10 , 396 , 94 , 36 , 33 , .271 , .342 , .416 , .758 , .341 , 102.4 , 18.66 ,
138,김상국,12빙C, 18.61 , 1092 , 3052 , 2663 , 270 , 673 , 102 , 16 , 57 , 978 , 334 , 35 , 26 , 295 , 19 , 12 , 328 , 83 , 46 , 29 , .253 , .328 , .367 , .696 , .322 , 98.3 , 18.61 ,
139,김상현,14K3B, 18.25 , 1082 , 3853 , 3411 , 465 , 874 , 159 , 10 , 158 , 1527 , 570 , 54 , 25 , 324 , 71 , 11 , 857 , 118 , 21 , 26 , .256 , .331 , .448 , .779 , .349 , 103.8 , 18.25 ,
140,이도형,15한C, 18.24 , 1155 , 3486 , 3154 , 317 , 815 , 142 , 6 , 130 , 1359 , 519 , 5 , 5 , 243 , 39 , 7 , 537 , 99 , 22 , 28 , .258 , .317 , .431 , .748 , .335 , 101.9 , 18.24 ,
141,동봉철,8삼CF, 18.19 , 750 , 2659 , 2205 , 387 , 583 , 92 , 22 , 34 , 821 , 210 , 116 , 63 , 315 , 72 , 4 , 326 , 31 , 54 , 11 , .264 , .373 , .372 , .745 , .344 , 112.6 , 18.19 ,
142,신동주,15삼LF, 18.14 , 1041 , 3288 , 2904 , 447 , 791 , 139 , 9 , 110 , 1278 , 415 , 122 , 51 , 238 , 91 , 15 , 629 , 50 , 31 , 24 , .272 , .344 , .440 , .784 , .348 , 114.4 , 18.14 ,
143,노찬엽,9LLF, 18.07 , 884 , 3223 , 2788 , 368 , 778 , 121 , 38 , 43 , 1104 , 380 , 59 , 58 , 328 , 25 , 21 , 258 , 77 , 43 , 39 , .279 , .356 , .396 , .752 , .344 , 114.7 , 18.07 ,
