이름,WAR,game,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷출루,피사구,피고의사구,피삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,WPA,Position,Player,Salary
전준우,3.1,120,517,470,73,143,31,1,11,209,68,6,3,35,3,1,73,14,0,9, .304 , .350 , .445 , .795 , .361 , 121.3 ,3.1,1.19,Batter,전준우,50000.0
박찬호,3.02,130,566,494,81,134,22,0,4,168,45,41,8,57,1,0,67,9,7,7, .271 , .344 , .340 , .684 , .319 , 95.0 ,3.02,0.62,Batter,박찬호,12000.0
박동원,2.94,123,447,385,52,93,21,0,18,168,57,1,0,45,9,4,95,9,7,1, .242 , .334 , .436 , .771 , .344 , 111.5 ,2.94,-0.8,Batter,박동원,31000.0
채은성,2.89,126,526,467,48,138,26,2,12,204,83,6,7,27,21,3,88,16,0,11, .296 , .354 , .437 , .790 , .359 , 127.3 ,2.89,-0.22,Batter,채은성,28000.0
김선빈,2.88,140,587,505,51,145,23,0,3,177,61,13,2,65,6,0,47,14,7,3, .287 , .373 , .351 , .724 , .341 , 109.6 ,2.88,1.39,Batter,김선빈,45000.0
오재일,2.83,135,536,470,57,126,42,0,21,231,94,2,1,58,1,8,133,7,0,7, .268 , .345 , .491 , .837 , .370 , 126.5 ,2.83,0.86,Batter,오재일,60000.0
조용호,2.66,131,531,474,52,146,18,4,3,181,44,5,4,49,3,3,74,3,2,3, .308 , .374 , .382 , .756 , .352 , 115.8 ,2.66,1.99,Batter,조용호,24000.0
노시환,2.65,115,490,434,55,122,24,1,6,166,59,6,2,48,4,1,95,13,0,4, .281 , .355 , .382 , .738 , .344 , 112.5 ,2.65,1.99,Batter,노시환,12000.0
황재균,2.65,141,581,519,59,136,24,3,10,196,64,6,3,53,5,5,99,17,2,2, .262 , .335 , .378 , .713 , .328 , 99.6 ,2.65,-0.18,Batter,황재균,40000.0
배정대,2.58,144,575,508,64,135,24,2,6,181,56,19,4,54,4,0,126,2,5,4, .266 , .339 , .356 , .695 , .324 , 96.7 ,2.58,-0.18,Batter,배정대,26000.0
문성주,2.48,106,390,327,55,99,15,3,6,138,41,9,6,51,3,2,36,13,8,1, .303 , .401 , .422 , .823 , .375 , 136.0 ,2.48,0.48,Batter,문성주,4200.0
알포드,2.47,80,323,283,48,81,19,1,14,144,50,5,1,33,3,3,90,3,0,4, .286 , .362 , .509 , .871 , .387 , 139.7 ,2.47,2.04,Batter,알포드,47700.0
추신수,2.38,112,499,409,77,106,20,1,16,176,58,15,5,71,13,1,100,6,2,4, .259 , .382 , .430 , .813 , .374 , 129.8 ,2.38,2.01,Batter,추신수,270000.0
강승호,2.34,134,487,444,54,117,28,1,10,177,62,13,5,29,3,0,100,8,6,5, .264 , .310 , .399 , .708 , .320 , 100.5 ,2.34,0.53,Batter,강승호,11500.0
유강남,2.3,139,469,416,54,106,16,0,8,146,47,0,0,34,11,1,98,9,6,2, .255 , .326 , .351 , .677 , .314 , 94.9 ,2.3,0.41,Batter,유강남,27000.0
렉스,2.3,56,251,218,32,72,10,1,8,108,34,3,0,26,5,2,44,4,0,2, .330 , .410 , .495 , .906 , .411 , 156.3 ,2.3,1.32,Batter,렉스,31370.0
최형우,2.29,132,530,454,55,120,27,1,14,191,71,1,0,73,1,5,92,9,0,2, .264 , .366 , .421 , .787 , .361 , 123.3 ,2.29,1.16,Batter,최형우,90000.0
류지혁,2.26,127,477,405,55,112,19,2,2,141,48,8,4,56,6,0,83,6,8,2, .277 , .371 , .348 , .719 , .338 , 107.8 ,2.26,1.01,Batter,류지혁,10500.0
박민우,2.13,104,451,390,61,104,22,1,4,140,38,21,4,42,10,5,55,7,6,3, .267 , .351 , .359 , .710 , .326 , 101.0 ,2.13,0.62,Batter,박민우,41000.0
강민호,2.11,130,444,396,38,102,19,1,13,162,66,0,0,41,3,4,58,21,1,3, .258 , .330 , .409 , .739 , .335 , 103.6 ,2.11,0.55,Batter,강민호,60000.0
김지찬,2.08,113,429,361,62,101,7,6,0,120,25,25,4,45,2,0,64,2,19,2, .280 , .361 , .332 , .693 , .317 , 93.2 ,2.08,0.63,Batter,김지찬,11000.0
손아섭,2.07,138,617,548,72,152,29,4,4,201,48,6,3,59,3,2,76,9,1,6, .277 , .347 , .367 , .714 , .333 , 105.7 ,2.07,1.43,Batter,손아섭,150000.0
송성문,2.01,142,601,547,67,135,21,4,13,203,79,0,1,45,1,6,65,8,1,7, .247 , .302 , .371 , .673 , .305 , 88.1 ,2.01,-1.23,Batter,송성문,7500.0
