이름,WAR,game,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷출루,피사구,피고의사구,피삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,WPA,Position,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,피2타,피3타,피홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,Salary
윤동희,-0.14,4.0,13.0,13.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0, .154 , .154 , .231 , .385 , .174 , -7.5 ,-0.14,-0.25,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
공민규,-0.14,15.0,22.0,19.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,0.0,1.0, .158 , .227 , .158 , .385 , .195 , 10.6 ,-0.14,-0.22,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0
이태훈,-0.15,10.0,18.0,17.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0, .176 , .222 , .176 , .399 , .197 , 11.3 ,-0.15,0.09,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500.0
김시앙,-0.16,13.0,14.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,1.0,0.0, .083 , .154 , .083 , .237 , .119 , -41.0 ,-0.16,-0.17,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
이호연,-0.16,88.0,222.0,205.0,20.0,50.0,10.0,1.0,2.0,68.0,16.0,3.0,1.0,11.0,2.0,1.0,38.0,5.0,4.0,0.0, .244 , .289 , .332 , .621 , .283 , 67.7 ,-0.16,-1.79,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
서호철,-0.17,89.0,214.0,195.0,26.0,40.0,8.0,0.0,2.0,54.0,14.0,3.0,1.0,12.0,4.0,0.0,41.0,6.0,3.0,0.0, .205 , .265 , .277 , .542 , .255 , 52.0 ,-0.17,-1.68,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
이진영,-0.18,70.0,240.0,220.0,27.0,44.0,12.0,1.0,8.0,82.0,31.0,2.0,2.0,17.0,0.0,0.0,90.0,4.0,0.0,3.0, .200 , .254 , .373 , .627 , .283 , 71.1 ,-0.18,-1.9,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400.0
신성현,-0.19,17.0,25.0,23.0,3.0,2.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0, .087 , .160 , .217 , .377 , .178 , 4.4 ,-0.19,-0.21,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0
이흥련,-0.19,22.0,55.0,45.0,4.0,6.0,2.0,0.0,0.0,8.0,1.0,0.0,0.0,5.0,2.0,0.0,22.0,2.0,3.0,0.0, .133 , .250 , .178 , .428 , .209 , 18.1 ,-0.19,-0.48,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
홍성호,-0.2,12.0,19.0,18.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0, .167 , .211 , .167 , .377 , .187 , 3.4 ,-0.2,-0.28,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
박석민,-0.2,16.0,58.0,47.0,3.0,7.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,9.0,1.0,0.0,8.0,3.0,1.0,0.0, .149 , .298 , .191 , .490 , .251 , 48.2 ,-0.2,-0.32,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000.0
한승택,-0.21,65.0,119.0,102.0,11.0,18.0,2.0,0.0,1.0,23.0,11.0,0.0,0.0,9.0,3.0,0.0,30.0,2.0,4.0,1.0, .176 , .261 , .225 , .486 , .232 , 34.7 ,-0.21,-0.82,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,8500.0
안주형,-0.21,18.0,23.0,20.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0, .150 , .182 , .150 , .332 , .154 , -18.2 ,-0.21,-0.25,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300.0
박준태,-0.22,52.0,84.0,70.0,9.0,11.0,4.0,0.0,1.0,18.0,10.0,0.0,0.0,11.0,2.0,0.0,33.0,0.0,1.0,0.0, .157 , .289 , .257 , .546 , .267 , 61.5 ,-0.22,-0.55,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0
천재환,-0.23,29.0,36.0,35.0,4.0,5.0,1.0,0.0,1.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0, .143 , .167 , .257 , .424 , .194 , 9.2 ,-0.23,-0.8,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
서예일,-0.24,35.0,27.0,25.0,2.0,4.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0, .160 , .192 , .200 , .392 , .180 , 0.6 ,-0.24,-0.2,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300.0
원혁재,-0.25,11.0,23.0,21.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0, .095 , .174 , .143 , .317 , .161 , -13.2 ,-0.25,-0.3,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
윤정빈,-0.25,13.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0, .000 , .000 , .000 , .000 , .000 , -124.0 ,-0.25,-0.11,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
김규성,-0.25,70.0,52.0,50.0,14.0,9.0,0.0,1.0,1.0,14.0,4.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,1.0,0.0, .180 , .196 , .280 , .476 , .213 , 22.3 ,-0.25,-0.58,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300.0
정훈,-0.25,91.0,340.0,294.0,39.0,72.0,8.0,0.0,3.0,89.0,32.0,4.0,1.0,32.0,2.0,0.0,66.0,6.0,6.0,6.0, .245 , .317 , .303 , .620 , .290 , 73.4 ,-0.25,-0.68,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000.0
이성규,-0.26,13.0,34.0,27.0,5.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,2.0,0.0,8.0,1.0,0.0,0.0, .074 , .265 , .074 , .339 , .205 , 17.8 ,-0.26,-0.14,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0
강진성,-0.26,40.0,94.0,80.0,7.0,13.0,2.0,0.0,1.0,18.0,8.0,4.0,0.0,11.0,2.0,1.0,20.0,2.0,1.0,0.0, .163 , .280 , .225 , .505 , .245 , 46.2 ,-0.26,-0.49,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000.0
김호재,-0.28,21.0,29.0,28.0,1.0,4.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0, .143 , .172 , .179 , .351 , .168 , -8.6 ,-0.28,-0.43,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000.0
이원석,-0.29,20.0,39.0,35.0,4.0,4.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,3.0,0.0,0.0,18.0,1.0,1.0,0.0, .114 , .184 , .200 , .384 , .181 , 0.4 ,-0.29,-0.52,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000.0
이주형,-0.29,32.0,85.0,71.0,7.0,12.0,0.0,0.0,1.0,15.0,8.0,0.0,0.0,10.0,3.0,0.0,27.0,0.0,0.0,1.0, .169 , .294 , .211 , .505 , .257 , 55.7 ,-0.29,-0.39,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
이병규,-0.3,24.0,40.0,38.0,7.0,7.0,1.0,1.0,0.0,10.0,5.0,1.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0, .184 , .225 , .263 , .488 , .228 , 32.1 ,-0.3,-0.21,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
이성곤,-0.31,41.0,117.0,99.0,6.0,19.0,5.0,0.0,0.0,24.0,5.0,1.0,1.0,17.0,0.0,0.0,32.0,0.0,0.0,1.0, .192 , .308 , .242 , .550 , .273 , 64.0 ,-0.31,-0.47,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400.0
전병우,-0.31,115.0,231.0,197.0,14.0,40.0,7.0,0.0,5.0,62.0,21.0,0.0,0.0,17.0,7.0,0.0,68.0,5.0,9.0,1.0, .203 , .288 , .315 , .603 , .275 , 68.2 ,-0.31,-0.01,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000.0
최항,-0.31,15.0,24.0,20.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,0.0,1.0, .100 , .208 , .100 , .308 , .170 , -8.9 ,-0.31,-0.24,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0
정민규,-0.31,9.0,24.0,23.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0, .130 , .167 , .130 , .297 , .149 , -21.7 ,-0.31,-0.14,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100.0
김병희,-0.31,41.0,85.0,74.0,8.0,15.0,2.0,0.0,1.0,20.0,6.0,0.0,3.0,7.0,3.0,0.0,26.0,2.0,0.0,1.0, .203 , .294 , .270 , .564 , .274 , 63.0 ,-0.31,-0.37,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700.0
도태훈,-0.34,90.0,163.0,139.0,18.0,30.0,7.0,0.0,2.0,43.0,13.0,0.0,0.0,13.0,1.0,0.0,23.0,5.0,7.0,3.0, .216 , .282 , .309 , .591 , .265 , 58.6 ,-0.34,-1.8,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0
송준석,-0.36,17.0,32.0,29.0,3.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0, .138 , .194 , .138 , .332 , .164 , -11.5 ,-0.36,-0.56,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700.0
최정용,-0.37,30.0,23.0,22.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0, .091 , .091 , .091 , .182 , .082 , -67.7 ,-0.37,-0.37,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800.0
윤형준,-0.38,35.0,69.0,67.0,5.0,14.0,1.0,0.0,1.0,18.0,5.0,1.0,0.0,1.0,1.0,0.0,21.0,1.0,0.0,0.0, .209 , .232 , .269 , .501 , .234 , 38.4 ,-0.38,-0.7,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0
김한별,-0.38,24.0,23.0,21.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0, .095 , .095 , .095 , .191 , .082 , -66.8 ,-0.38,-0.39,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
이해승,-0.38,46.0,106.0,99.0,11.0,23.0,3.0,0.0,0.0,26.0,5.0,0.0,0.0,1.0,0.0,0.0,29.0,1.0,6.0,0.0, .232 , .240 , .263 , .503 , .222 , 28.3 ,-0.38,-0.34,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
김석환,-0.39,51.0,107.0,94.0,15.0,14.0,2.0,0.0,3.0,25.0,7.0,0.0,0.0,10.0,3.0,0.0,32.0,1.0,0.0,0.0, .149 , .252 , .266 , .518 , .250 , 47.0 ,-0.39,-1.07,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100.0
이학주,-0.4,91.0,260.0,232.0,29.0,48.0,11.0,1.0,3.0,70.0,15.0,2.0,4.0,16.0,2.0,0.0,54.0,3.0,9.0,1.0, .207 , .263 , .302 , .565 , .256 , 49.3 ,-0.4,-1.92,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000.0
이용규,-0.41,86.0,326.0,271.0,34.0,54.0,6.0,0.0,0.0,60.0,21.0,12.0,2.0,45.0,7.0,0.0,42.0,7.0,1.0,2.0, .199 , .326 , .221 , .548 , .278 , 67.7 ,-0.41,0.64,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0
신본기,-0.47,74.0,138.0,121.0,9.0,22.0,3.0,0.0,1.0,28.0,8.0,0.0,1.0,10.0,2.0,0.0,28.0,5.0,4.0,1.0, .182 , .254 , .231 , .485 , .230 , 32.6 ,-0.47,-1.75,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,11500.0
김동엽,-0.48,30.0,100.0,95.0,9.0,21.0,5.0,0.0,2.0,32.0,4.0,0.0,3.0,4.0,0.0,0.0,22.0,1.0,0.0,1.0, .221 , .250 , .337 , .587 , .268 , 58.4 ,-0.48,-0.41,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000.0
한태양,-0.49,38.0,72.0,61.0,14.0,9.0,1.0,0.0,0.0,10.0,3.0,1.0,0.0,5.0,2.0,0.0,24.0,1.0,4.0,0.0, .148 , .235 , .164 , .399 , .194 , 7.2 ,-0.49,-0.19,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
강태율,-0.52,19.0,38.0,32.0,0.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,1.0,0.0,9.0,2.0,3.0,0.0, .094 , .171 , .125 , .296 , .142 , -28.1 ,-0.52,-0.48,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300.0
송민섭,-0.53,119.0,72.0,64.0,17.0,10.0,1.0,2.0,0.0,15.0,3.0,0.0,2.0,5.0,0.0,0.0,19.0,0.0,3.0,0.0, .156 , .217 , .234 , .452 , .206 , 17.1 ,-0.53,-0.59,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,8100.0
김성현,-0.58,130.0,359.0,302.0,38.0,66.0,9.0,1.0,2.0,83.0,37.0,3.0,3.0,31.0,3.0,0.0,36.0,13.0,20.0,3.0, .219 , .295 , .275 , .570 , .259 , 53.9 ,-0.58,-0.25,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000.0
이도윤,-0.69,80.0,126.0,113.0,9.0,18.0,7.0,0.0,1.0,28.0,8.0,3.0,2.0,8.0,0.0,0.0,30.0,1.0,4.0,1.0, .159 , .213 , .248 , .461 , .210 , 20.5 ,-0.69,-1.37,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400.0
박대온,-0.75,59.0,133.0,127.0,8.0,23.0,4.0,0.0,1.0,30.0,10.0,0.0,0.0,0.0,2.0,0.0,37.0,4.0,3.0,1.0, .181 , .192 , .236 , .429 , .194 , 10.5 ,-0.75,-1.69,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0
조세진,-0.76,39.0,88.0,86.0,6.0,16.0,3.0,0.0,0.0,19.0,6.0,0.0,1.0,1.0,0.0,0.0,25.0,4.0,1.0,0.0, .186 , .195 , .221 , .416 , .192 , 5.7 ,-0.76,-0.64,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
유로결,-0.82,30.0,68.0,60.0,5.0,8.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,4.0,1.0,0.0,9.0,1.0,3.0,0.0, .133 , .200 , .133 , .333 , .164 , -11.4 ,-0.82,-1.05,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300.0
정보근,-0.91,95.0,226.0,199.0,8.0,38.0,2.0,0.0,1.0,43.0,15.0,1.0,0.0,14.0,2.0,0.0,55.0,4.0,10.0,1.0, .191 , .250 , .216 , .466 , .218 , 24.1 ,-0.91,-1.78,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400.0
박경수,-1.01,100.0,194.0,166.0,13.0,20.0,3.0,0.0,3.0,32.0,10.0,0.0,0.0,24.0,1.0,0.0,70.0,3.0,2.0,1.0, .120 , .234 , .193 , .427 , .213 , 21.9 ,-1.01,-2.16,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,29000.0
김헌곤,-1.58,80.0,239.0,224.0,18.0,43.0,8.0,0.0,1.0,54.0,20.0,3.0,1.0,9.0,1.0,0.0,22.0,10.0,2.0,3.0, .192 , .224 , .241 , .465 , .217 , 24.6 ,-1.58,-2.24,Batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000.0
페디,7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,Pitcher,30.0,0.0,0.0,30.0,20.0,6.0,0.0,0.0,180.1,46.0,40.0,708.0,137.0,16.0,0.0,9.0,35.0,0.0,4.0,209.0,0.0,5.0, 2.00 , 2.42 , 0.95 , 208.6 , 174.2 ,3000.0
고영표,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34,Pitcher,28.0,0.0,0.0,27.0,12.0,7.0,0.0,0.0,174.2,57.0,54.0,706.0,181.0,27.0,5.0,7.0,19.0,1.0,9.0,114.0,0.0,6.0, 2.78 , 3.12 , 1.15 , 151.8 , 133.7 ,30000.0
후라도,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,Pitcher,30.0,0.0,0.0,30.0,11.0,8.0,0.0,0.0,183.2,64.0,54.0,763.0,164.0,19.0,0.0,7.0,41.0,0.0,9.0,147.0,0.0,5.0, 2.65 , 3.15 , 1.12 , 155.2 , 129.1 ,3000.0
알칸타라,5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,Pitcher,31.0,0.0,0.0,31.0,13.0,8.0,0.0,0.0,192.0,67.0,57.0,777.0,171.0,33.0,0.0,16.0,35.0,1.0,5.0,162.0,0.0,3.0, 2.67 , 3.45 , 1.07 , 152.5 , 116.2 ,45000.0
안우진,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,Pitcher,24.0,0.0,0.0,24.0,9.0,7.0,0.0,0.0,150.2,44.0,40.0,608.0,121.0,25.0,1.0,5.0,38.0,1.0,1.0,164.0,0.0,8.0, 2.39 , 2.45 , 1.06 , 171.9 , 164.8 ,15000.0
뷰캐넌,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,Pitcher,30.0,1.0,0.0,30.0,12.0,8.0,0.0,0.0,188.0,71.0,53.0,784.0,174.0,26.0,2.0,4.0,43.0,1.0,6.0,139.0,1.0,7.0, 2.54 , 3.01 , 1.15 , 166.9 , 138.1 ,110000.0
곽빈,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,Pitcher,23.0,0.0,0.0,23.0,12.0,7.0,0.0,0.0,127.1,44.0,41.0,526.0,96.0,18.0,1.0,7.0,58.0,0.0,5.0,106.0,1.0,4.0, 2.90 , 3.98 , 1.21 , 140.6 , 102.2 ,6500.0
쿠에바스,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,Pitcher,18.0,0.0,0.0,18.0,12.0,0.0,0.0,0.0,114.1,33.0,33.0,460.0,95.0,10.0,2.0,4.0,24.0,1.0,2.0,100.0,0.0,5.0, 2.60 , 2.80 , 1.04 , 162.6 , 149.5 ,80000.0
플럿코,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,Pitcher,21.0,0.0,0.0,21.0,11.0,3.0,0.0,0.0,123.1,37.0,33.0,510.0,115.0,21.0,3.0,5.0,31.0,1.0,3.0,101.0,0.0,2.0, 2.41 , 3.13 , 1.18 , 169.5 , 131.0 ,50000.0
서진용,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,Pitcher,69.0,0.0,0.0,0.0,5.0,4.0,40.0,0.0,72.2,22.0,20.0,322.0,62.0,5.0,0.0,3.0,48.0,5.0,4.0,63.0,0.0,5.0, 2.48 , 4.19 , 1.51 , 169.0 , 100.3 ,18500.0
반즈,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,Pitcher,30.0,0.0,0.0,30.0,11.0,10.0,0.0,0.0,170.1,68.0,62.0,734.0,171.0,34.0,1.0,6.0,56.0,1.0,15.0,147.0,0.0,7.0, 3.28 , 3.41 , 1.33 , 127.0 , 121.3 ,46538.0
페냐,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27,Pitcher,32.0,0.0,0.0,32.0,11.0,11.0,0.0,0.0,177.1,82.0,71.0,751.0,149.0,28.0,5.0,14.0,59.0,1.0,18.0,147.0,4.0,16.0, 3.60 , 4.10 , 1.17 , 115.2 , 101.3 ,40000.0
원태인,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,Pitcher,26.0,0.0,0.0,26.0,7.0,7.0,0.0,0.0,150.0,61.0,53.0,633.0,156.0,26.0,1.0,15.0,34.0,2.0,6.0,102.0,2.0,6.0, 3.18 , 4.14 , 1.27 , 133.2 , 101.5 ,30000.0
김광현,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,Pitcher,30.0,0.0,0.0,30.0,9.0,8.0,0.0,0.0,168.1,75.0,66.0,713.0,163.0,30.0,0.0,11.0,70.0,0.0,2.0,119.0,0.0,5.0, 3.53 , 4.16 , 1.38 , 118.6 , 101.3 ,810000.0
박세웅,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,Pitcher,27.0,0.0,0.0,27.0,9.0,7.0,0.0,0.0,154.0,70.0,59.0,657.0,145.0,24.0,0.0,8.0,59.0,1.0,4.0,129.0,0.0,10.0, 3.45 , 3.65 , 1.33 , 120.7 , 112.8 ,3300.0
박세웅,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,Pitcher,27.0,0.0,0.0,27.0,9.0,7.0,0.0,0.0,154.0,70.0,59.0,657.0,145.0,24.0,0.0,8.0,59.0,1.0,4.0,129.0,0.0,10.0, 3.45 , 3.65 , 1.33 , 120.7 , 112.8 ,26000.0
김진성,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,Pitcher,80.0,0.0,0.0,0.0,5.0,1.0,4.0,21.0,70.1,17.0,17.0,270.0,41.0,5.0,1.0,8.0,26.0,0.0,0.0,69.0,0.0,0.0, 2.18 , 4.07 , 0.95 , 187.6 , 99.4 ,10000.0
김재윤,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,Pitcher,59.0,0.0,0.0,0.0,5.0,5.0,32.0,0.0,65.2,21.0,19.0,262.0,54.0,5.0,2.0,2.0,13.0,5.0,1.0,60.0,0.0,3.0, 2.60 , 2.42 , 1.02 , 162.2 , 173.7 ,28000.0
양현종,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,Pitcher,29.0,0.0,0.0,29.0,9.0,11.0,0.0,0.0,171.0,78.0,67.0,729.0,180.0,32.0,1.0,13.0,48.0,1.0,1.0,133.0,0.0,5.0, 3.53 , 3.72 , 1.33 , 117.2 , 110.4 ,100000.0
박영현,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,Pitcher,68.0,0.0,0.0,0.0,3.0,3.0,4.0,32.0,75.1,25.0,23.0,308.0,63.0,11.0,2.0,3.0,23.0,4.0,2.0,79.0,2.0,1.0, 2.75 , 2.70 , 1.14 , 153.7 , 155.9 ,3000.0
엘리아스,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,Pitcher,22.0,0.0,0.0,21.0,7.0,6.0,0.0,0.0,131.1,58.0,55.0,548.0,140.0,22.0,1.0,12.0,33.0,1.0,6.0,93.0,0.0,0.0, 3.77 , 4.08 , 1.32 , 111.0 , 104.0 ,73256.0
함덕주,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,Pitcher,57.0,0.0,0.0,0.0,4.0,0.0,4.0,16.0,55.2,12.0,10.0,222.0,32.0,9.0,1.0,1.0,22.0,1.0,2.0,59.0,0.0,0.0, 1.62 , 2.80 , 0.97 , 252.5 , 148.0 ,12000.0
류진욱,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,Pitcher,70.0,0.0,0.0,0.0,1.0,4.0,0.0,22.0,67.0,19.0,16.0,268.0,41.0,2.0,2.0,1.0,32.0,1.0,1.0,62.0,0.0,5.0, 2.15 , 3.22 , 1.09 , 193.8 , 130.3 ,7500.0
주현상,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,Pitcher,55.0,0.0,0.0,0.0,2.0,2.0,0.0,12.0,59.2,13.0,13.0,228.0,35.0,6.0,1.0,2.0,15.0,1.0,3.0,45.0,0.0,0.0, 1.96 , 3.22 , 0.84 , 211.7 , 128.5 ,5080.0
문동주,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,Pitcher,23.0,0.0,0.0,23.0,8.0,8.0,0.0,0.0,118.2,52.0,49.0,503.0,113.0,20.0,2.0,6.0,42.0,0.0,4.0,95.0,1.0,5.0, 3.72 , 3.66 , 1.31 , 111.7 , 113.2 ,3000.0
엄상백,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,Pitcher,20.0,0.0,0.0,19.0,7.0,6.0,0.0,0.0,111.2,46.0,45.0,454.0,100.0,16.0,4.0,6.0,29.0,0.0,2.0,89.0,0.0,1.0, 3.63 , 3.38 , 1.16 , 116.4 , 123.6 ,8000.0
벤자민,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,Pitcher,29.0,0.0,0.0,29.0,15.0,6.0,0.0,0.0,160.0,79.0,63.0,684.0,149.0,23.0,1.0,12.0,45.0,1.0,3.0,157.0,0.0,11.0, 3.54 , 3.34 , 1.21 , 119.2 , 125.5 ,23100.0
임찬규,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,Pitcher,30.0,0.0,0.0,26.0,14.0,3.0,0.0,1.0,144.2,63.0,55.0,632.0,142.0,22.0,2.0,10.0,54.0,1.0,5.0,103.0,1.0,1.0, 3.42 , 4.12 , 1.36 , 119.3 , 99.1 ,20000.0
노경은,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,Pitcher,76.0,0.0,0.0,0.0,8.0,5.0,2.0,29.0,83.0,33.0,33.0,357.0,78.0,13.0,2.0,4.0,36.0,5.0,4.0,65.0,0.0,8.0, 3.58 , 3.77 , 1.37 , 117.0 , 111.8 ,10000.0
맥카티,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,Pitcher,24.0,0.0,0.0,24.0,9.0,5.0,0.0,0.0,130.0,58.0,49.0,543.0,124.0,19.0,2.0,10.0,45.0,0.0,1.0,116.0,1.0,4.0, 3.39 , 3.72 , 1.30 , 123.4 , 114.0 ,3000.0
백정현,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,Pitcher,18.0,0.0,0.0,18.0,7.0,5.0,0.0,0.0,100.2,44.0,41.0,419.0,100.0,19.0,2.0,6.0,30.0,2.0,0.0,61.0,1.0,5.0, 3.67 , 3.84 , 1.29 , 115.5 , 108.9 ,80000.0
