이름,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,피2타,피3타,피홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA,Position,Player,Salary
이건욱,0.93,27,0,0,1,1,0,0,0,38.2,13,10,169,31,7,0,0,25,2,2,31,0,2, 2.33 , 3.78 , 1.45 , 179.8 , 110.1 ,-0.09,Pitcher,이건욱,3200.0
구승민,0.87,67,0,0,0,2,6,3,22,63.2,32,28,289,65,8,0,4,29,0,5,66,0,2, 3.96 , 3.79 , 1.48 , 105.1 , 108.6 ,-0.45,Pitcher,구승민,18100.0
파노니,0.85,16,0,0,15,6,3,0,0,82.1,41,39,351,86,14,1,6,23,0,2,66,0,0, 4.26 , 3.70 , 1.32 , 96.9 , 111.0 ,0.04,Pitcher,,30000.0
이정용,0.82,37,0,0,13,7,2,3,1,86.2,45,40,382,100,20,1,5,19,0,2,50,0,3, 4.15 , 3.77 , 1.37 , 98.3 , 108.5 ,-0.67,Pitcher,이정용,5000.0
스트레일리,0.81,16,0,0,16,3,5,0,0,80.1,43,39,364,82,8,1,6,37,0,10,70,0,4, 4.37 , 4.43 , 1.48 , 95.2 , 92.8 ,-0.27,Pitcher,스트레일리,90000.0
심재민,0.81,33,0,0,6,3,1,0,6,47.2,23,20,218,57,6,0,2,18,1,1,29,0,1, 3.78 , 3.90 , 1.57 , 110.3 , 105.6 ,0.11,Pitcher,심재민,8200.0
이우찬,0.8,38,0,0,0,1,3,0,5,38.1,15,15,157,35,4,0,1,18,0,2,30,1,2, 3.52 , 3.78 , 1.38 , 115.9 , 109.0 ,0.35,Pitcher,이우찬,5000.0
김범수,0.77,76,0,0,0,5,5,1,18,62.1,33,29,283,64,10,0,3,33,5,3,52,0,4, 4.19 , 3.89 , 1.56 , 99.2 , 106.5 ,-0.32,Pitcher,김범수,9680.0
이재익,0.77,51,0,0,0,1,3,0,11,41.0,19,18,181,46,5,1,3,17,3,0,26,0,3, 3.95 , 4.15 , 1.54 , 107.2 , 101.3 ,-0.71,Pitcher,이재익,3700.0
주권,0.75,42,0,0,3,1,2,0,5,47.0,23,23,205,49,7,1,4,19,2,2,17,0,0, 4.40 , 5.04 , 1.45 , 95.9 , 82.4 ,-0.47,Pitcher,주권,29500.0
최동환,0.74,45,0,0,0,0,0,1,1,42.1,18,15,189,42,11,0,1,17,2,3,20,0,0, 3.19 , 4.08 , 1.39 , 128.0 , 101.1 ,0.18,Pitcher,최동환,6000.0
이상동,0.72,36,0,0,0,4,1,0,1,40.2,19,18,179,45,10,0,4,15,2,0,43,0,1, 3.98 , 3.57 , 1.48 , 106.0 , 117.5 ,0.43,Pitcher,,3200.0
최성영,0.68,18,0,0,13,5,4,0,0,66.2,37,36,303,77,15,2,6,32,0,5,38,0,1, 4.86 , 5.14 , 1.64 , 85.7 , 81.8 ,-0.73,Pitcher,최성영,7200.0
이재학,0.68,15,0,0,13,5,5,0,0,67.1,36,34,293,55,5,2,6,33,0,5,43,0,7, 4.54 , 5.02 , 1.31 , 91.6 , 83.8 ,-0.23,Pitcher,이재학,18000.0
정찬헌,0.68,14,1,0,14,2,8,0,0,72.0,40,38,295,71,12,3,4,13,1,2,35,0,0, 4.75 , 3.78 , 1.17 , 86.5 , 108.1 ,-0.15,Pitcher,정찬헌,28000.0
최원준,0.65,26,0,0,20,3,10,0,0,107.2,60,59,465,119,33,1,11,28,0,12,71,0,1, 4.93 , 4.57 , 1.37 , 82.6 , 87.8 ,-0.31,Pitcher,최원준,34000.0
최원준,0.65,26,0,0,20,3,10,0,0,107.2,60,59,465,119,33,1,11,28,0,12,71,0,1, 4.93 , 4.57 , 1.37 , 82.6 , 87.8 ,-0.31,Pitcher,최원준,3000.0
앤더슨,0.64,14,0,0,14,4,7,0,0,79.0,42,33,336,76,12,3,6,26,0,2,64,0,10, 3.76 , 3.87 , 1.29 , 109.9 , 106.0 ,-0.03,Pitcher,앤더슨,3000.0
김진호,0.6,19,0,0,0,2,1,0,9,16.1,5,5,73,15,2,0,0,10,0,1,22,0,3, 2.76 , 2.77 , 1.53 , 151.2 , 151.7 ,0.27,Pitcher,김진호,3000.0
하준영,0.59,57,0,0,0,1,0,0,2,49.0,25,25,215,52,6,1,4,19,1,2,49,0,0, 4.59 , 3.73 , 1.45 , 90.7 , 113.2 ,-1.15,Pitcher,하준영,4000.0
김규연,0.54,23,0,0,0,0,1,1,0,19.2,7,6,85,16,2,1,0,10,0,2,20,0,2, 2.75 , 3.24 , 1.32 , 151.2 , 127.9 ,0.02,Pitcher,김규연,3000.0
이호성,0.53,5,0,0,2,1,0,0,0,17.0,5,5,71,11,4,1,1,10,0,0,11,0,1, 2.65 , 4.68 , 1.24 , 160.0 , 89.0 ,0.13,Pitcher,이호성,3000.0
장현식,0.52,56,0,0,0,2,2,3,5,51.0,26,23,226,58,8,0,6,26,1,1,44,0,1, 4.06 , 4.78 , 1.65 , 101.8 , 85.7 ,-0.62,Pitcher,장현식,20000.0
김대우,0.5,44,0,0,5,0,2,0,4,64.0,37,32,277,66,9,1,7,22,1,3,49,0,1, 4.50 , 4.46 , 1.38 , 94.1 , 94.3 ,-1.38,Pitcher,김대우,12000.0
요키시,0.47,12,0,0,12,5,3,0,0,65.2,37,32,286,82,14,1,3,14,1,3,51,0,1, 4.39 , 3.21 , 1.46 , 93.6 , 126.6 ,-0.13,Pitcher,요키시,90000.0
조민석,0.44,35,0,0,0,1,0,0,4,31.0,15,14,137,33,9,0,2,14,0,3,28,0,1, 4.06 , 4.12 , 1.52 , 102.5 , 102.0 ,0.1,Pitcher,조민석,3000.0
고효준,0.44,73,0,0,0,4,1,0,13,58.0,32,29,262,49,3,0,3,42,0,3,66,0,4, 4.50 , 4.17 , 1.57 , 93.0 , 101.1 ,0.08,Pitcher,고효준,4000.0
신정락,0.43,34,0,0,0,4,0,0,1,29.0,15,15,128,32,6,0,4,11,3,3,28,0,0, 4.66 , 4.44 , 1.48 , 89.4 , 90.9 ,-0.52,Pitcher,신정락,5400.0
윤중현,0.42,31,0,0,0,2,1,0,0,28.0,13,12,115,29,3,0,2,10,1,1,8,0,0, 3.86 , 4.87 , 1.39 , 107.1 , 84.5 ,0.2,Pitcher,윤중현,6500.0
조영건,0.4,6,0,0,0,0,0,0,1,7.2,0,0,27,5,1,0,0,2,0,0,7,0,0, 0.00 , 2.40 , 0.91 ,  , 170.8 ,0.2,Pitcher,,3000.0
박상원,0.37,55,0,0,0,5,3,16,0,61.2,35,25,277,63,9,3,2,29,4,3,57,0,2, 3.65 , 3.38 , 1.49 , 113.8 , 122.6 ,0.92,Pitcher,박상원,9000.0
우규민,0.34,56,0,0,0,3,1,0,13,43.0,25,23,188,55,9,0,3,5,0,3,28,0,0, 4.81 , 3.61 , 1.40 , 88.0 , 116.2 ,-0.26,Pitcher,우규민,20000.0
김도규,0.32,36,0,0,0,0,3,1,1,29.2,16,16,132,29,5,0,1,13,0,1,26,0,6, 4.85 , 3.54 , 1.42 , 85.7 , 116.7 ,-1.28,Pitcher,김도규,5700.0
송명기,0.3,35,0,0,17,4,9,0,0,104.1,64,57,474,106,15,2,12,47,0,11,65,0,6, 4.92 , 5.36 , 1.47 , 84.7 , 78.5 ,-1.33,Pitcher,송명기,13000.0
박민호,0.29,10,0,0,0,0,0,0,0,10.0,3,1,47,14,1,0,0,1,0,2,4,0,0, 0.90 , 3.54 , 1.50 , 465.0 , 117.8 ,0.14,Pitcher,,12000.0
김기중,0.28,37,0,0,6,1,3,0,1,56.1,33,29,253,58,9,3,4,29,1,9,46,0,2, 4.63 , 4.70 , 1.54 , 89.6 , 88.3 ,0.2,Pitcher,김기중,3900.0
